2015 GEOID,"2010 Census Percent Rural",,,,,,,,,,,,,
13235,66.70274771,,,,,,,,,,,,,
13237,80.9454237,,,,,,,,,,,,,
13239,73.09988062,,,,,,,,,,,,,
13241,79.28237896,,,,,,,,,,,,,
13243,50.62831973,,,,,,,,,,,,,
13245,9.216201527,,,,,,,,,,,,,
13247,14.93281699,,,,,,,,,,,,,
13249,100,,,,,,,,,,,,,
13251,78.92140067,,,,,,,,,,,,,
13253,68.55309887,,,,,,,,,,,,,
13255,41.61971501,,,,,,,,,,,,,
13257,58.5635148,,,,,,,,,,,,,
13259,100,,,,,,,,,,,,,
13261,41.78372284,,,,,,,,,,,,,
13263,93.8820102,,,,,,,,,,,,,
13265,100,,,,,,,,,,,,,
13267,68.23667712,,,,,,,,,,,,,
13269,100,,,,,,,,,,,,,
13271,46.98787879,,,,,,,,,,,,,
13273,51.00452298,,,,,,,,,,,,,
13275,46.02191413,,,,,,,,,,,,,
13277,40.78219253,,,,,,,,,,,,,
13279,51.05609227,,,,,,,,,,,,,
13281,100,,,,,,,,,,,,,
13283,58.8671024,,,,,,,,,,,,,
13285,44.29926615,,,,,,,,,,,,,
13287,49.731243,,,,,,,,,,,,,
13289,100,,,,,,,,,,,,,
13291,100,,,,,,,,,,,,,
13293,46.9082606,,,,,,,,,,,,,
13295,43.85362732,,,,,,,,,,,,,
13297,42.65829434,,,,,,,,,,,,,
13299,29.44205772,,,,,,,,,,,,,
13301,100,,,,,,,,,,,,,
13303,65.60154812,,,,,,,,,,,,,
13305,57.93880195,,,,,,,,,,,,,
13307,100,,,,,,,,,,,,,
13309,100,,,,,,,,,,,,,
13311,83.79384026,,,,,,,,,,,,,
13313,29.07728145,,,,,,,,,,,,,
13315,100,,,,,,,,,,,,,
13317,67.3652412,,,,,,,,,,,,,
13319,100,,,,,,,,,,,,,
13321,69.16370681,,,,,,,,,,,,,
15001,37.99080393,,,,,,,,,,,,,
15003,0.862876584,,,,,,,,,,,,,
15005,100,,,,,,,,,,,,,
15007,12.86014518,,,,,,,,,,,,,
15009,14.56785977,,,,,,,,,,,,,
16001,5.47220063,,,,,,,,,,,,,
16003,100,,,,,,,,,,,,,
16005,15.72930624,,,,,,,,,,,,,
16007,100,,,,,,,,,,,,,
16009,71.91168551,,,,,,,,,,,,,
16011,56.03087245,,,,,,,,,,,,,
16013,32.76571856,,,,,,,,,,,,,
16015,100,,,,,,,,,,,,,
16017,72.44660812,,,,,,,,,,,,,
16019,12.94293603,,,,,,,,,,,,,
16021,76.18483412,,,,,,,,,,,,,
16023,100,,,,,,,,,,,,,
16025,100,,,,,,,,,,,,,
16027,19.86788268,,,,,,,,,,,,,
16029,59.88797932,,,,,,,,,,,,,
16031,51.51185082,,,,,,,,,,,,,
16033,100,,,,,,,,,,,,,
16035,58.61203059,,,,,,,,,,,,,
16037,100,,,,,,,,,,,,,
16039,26.88438494,,,,,,,,,,,,,
16041,66.18958236,,,,,,,,,,,,,
16043,72.04349796,,,,,,,,,,,,,
16045,45.02063521,,,,,,,,,,,,,
16047,58.08329022,,,,,,,,,,,,,
16049,80.63564271,,,,,,,,,,,,,
16051,66.61055853,,,,,,,,,,,,,
16053,51.31849468,,,,,,,,,,,,,
16055,24.2443716,,,,,,,,,,,,,
16057,34.99087101,,,,,,,,,,,,,
16059,61.1391129,,,,,,,,,,,,,
16061,100,,,,,,,,,,,,,
16063,100,,,,,,,,,,,,,
16065,28.46334186,,,,,,,,,,,,,
16067,44.22243261,,,,,,,,,,,,,
16069,19.16465045,,,,,,,,,,,,,
16071,100,,,,,,,,,,,,,
16073,77.29481173,,,,,,,,,,,,,
16075,42.66896521,,,,,,,,,,,,,
16077,42.58667008,,,,,,,,,,,,,
16079,56.03603604,,,,,,,,,,,,,
16081,100,,,,,,,,,,,,,
16083,27.99041823,,,,,,,,,,,,,
16085,100,,,,,,,,,,,,,
16087,45.56775838,,,,,,,,,,,,,
17001,32.59913864,,,,,,,,,,,,,
17003,61.85967468,,,,,,,,,,,,,
17005,60.73840612,,,,,,,,,,,,,
17007,19.36305732,,,,,,,,,,,,,
17009,41.06962664,,,,,,,,,,,,,
17011,57.39035965,,,,,,,,,,,,,
17013,100,,,,,,,,,,,,,
17015,81.87430948,,,,,,,,,,,,,
17017,52.13311831,,,,,,,,,,,,,
17019,12.71030082,,,,,,,,,,,,,
17021,43.45114943,,,,,,,,,,,,,
17023,59.54086318,,,,,,,,,,,,,
17025,64.7339848,,,,,,,,,,,,,
17027,48.7580107,,,,,,,,,,,,,
17029,24.28860468,,,,,,,,,,,,,
17031,0.045296385,,,,,,,,,,,,,
17033,60.16551446,,,,,,,,,,,,,
17035,100,,,,,,,,,,,,,
17037,20.30524914,,,,,,,,,,,,,
17039,48.75309462,,,,,,,,,,,,,
17041,61.63663664,,,,,,,,,,,,,
17043,0.047550288,,,,,,,,,,,,,
17045,51.80340224,,,,,,,,,,,,,
17047,100,,,,,,,,,,,,,
17049,59.69861574,,,,,,,,,,,,,
17051,66.98735321,,,,,,,,,,,,,
17053,41.77970315,,,,,,,,,,,,,
17055,48.58067288,,,,,,,,,,,,,
17057,60.02589765,,,,,,,,,,,,,
17059,100,,,,,,,,,,,,,
17061,70.84833645,,,,,,,,,,,,,
17063,24.37528714,,,,,,,,,,,,,
17065,68.09743408,,,,,,,,,,,,,
17067,70.97466499,,,,,,,,,,,,,
17069,100,,,,,,,,,,,,,
17071,99.6589824,,,,,,,,,,,,,
17073,50.27532385,,,,,,,,,,,,,
17075,71.74103237,,,,,,,,,,,,,
17077,37.16662792,,,,,,,,,,,,,
17079,69.8597649,,,,,,,,,,,,,
17081,58.77095835,,,,,,,,,,,,,
17083,60.56993692,,,,,,,,,,,,,
17085,72.5901755,,,,,,,,,,,,,
17087,100,,,,,,,,,,,,,
17089,3.558335549,,,,,,,,,,,,,
17091,24.45680438,,,,,,,,,,,,,
17093,10.41957189,,,,,,,,,,,,,
17095,24.32018746,,,,,,,,,,,,,
17097,1.267303707,,,,,,,,,,,,,
17099,30.2148801,,,,,,,,,,,,,
17101,58.01699044,,,,,,,,,,,,,
17103,53.21251145,,,,,,,,,,,,,
17105,40.80359435,,,,,,,,,,,,,
17107,39.86470879,,,,,,,,,,,,,
17109,29.50447688,,,,,,,,,,,,,
17111,9.878546444,,,,,,,,,,,,,
17113,16.49682731,,,,,,,,,,,,,
